Name,Age,Gender,Current educational level,Monthly Income,Rent/Room Accommodation,Utilities,Groceries,Dining Out/Eating Outside,Public Transportation,Fuel/Car Maintenance,Tuition Fees,Books and Supplies,Online Courses/Subscriptions,Clothing/Shoes,Entertainment,Health Insurance/Medical Expenses,Gym Memberships/Physical Activities,Mobile Phone/Internet Bill,Final Monthly Expense
Angela Johnson,26,Female,High School,681,692,66,64,54,180,92,1307,108,19,73,132,100,25,49,2961
Rita Morrow,23,Female,High School,576,791,58,146,52,129,68,4467,63,36,117,94,129,42,35,6227
Gregory Hernandez,18,Male,Graduate,615,765,57,195,85,160,67,2951,42,32,58,194,48,64,31,4749
Stephanie Reese,22,Female,High School,996,773,59,179,67,117,69,2825,82,77,96,93,175,54,59,4725
Anthony Stuart,18,Male,Graduate,691,790,63,125,63,190,69,2908,53,95,112,50,22,88,59,4687
Erik Brown,29,Male,Graduate,942,753,53,145,62,182,75,3669,39,89,33,104,152,66,45,5467
Brian Peck,21,Male,High School,584,668,53,141,83,175,44,3507,54,85,135,185,42,68,33,5273
Stephanie Bolton,20,Female,Undergraduate,985,791,63,91,24,121,79,2351,90,35,61,186,33,69,29,4023
Jose Bridges,28,Male,Undergraduate,647,783,68,78,33,112,97,4017,26,50,41,74,56,60,54,5549
Kelly Krueger,29,Female,High School,762,600,56,85,49,126,26,3351,34,67,72,65,68,54,54,4707
Joshua Woods,18,Male,Undergraduate,577,647,60,122,30,172,44,4146,97,49,55,197,42,88,34,5783
Devin Petersen,24,Male,High School,1068,725,67,96,33,160,27,4731,60,16,42,175,20,75,29,6256
Aaron Roberson,24,Male,Undergraduate,582,783,59,71,63,149,22,2075,106,57,56,70,159,91,33,3794
Keith Hall,23,Male,High School,1145,564,65,146,32,176,39,1208,93,46,102,74,94,36,33,2708
Danielle Collins,27,Female,Undergraduate,1211,559,57,142,48,194,88,2217,116,90,142,69,108,24,47,3901
Derek Raymond,26,Male,Undergraduate,1281,746,53,143,36,167,92,1793,43,13,74,89,134,42,28,3453
Destiny Dickerson,26,Female,High School,756,547,50,119,43,186,39,4683,66,43,84,97,137,85,35,6214
Laura Hill,18,Female,Graduate,743,798,65,186,40,134,32,4194,81,78,32,181,156,28,48,6053
Michael Ochoa,23,Male,Undergraduate,700,505,57,182,61,199,73,4363,88,82,101,175,66,18,54,6024
David Daniel,21,Male,Undergraduate,1003,558,66,118,87,194,22,2463,47,17,146,71,146,82,58,4075
Craig Morris,27,Male,High School,950,754,66,147,71,149,39,2088,42,75,148,157,195,43,66,4040
Courtney Clarke,27,Female,Graduate,719,791,52,131,43,155,23,4143,77,92,127,130,102,96,69,6031
Melanie Perez,27,Female,High School,1155,734,54,169,82,130,32,2016,48,43,46,58,25,21,21,3479
Maureen Lee,25,Female,Undergraduate,1073,660,58,131,75,124,87,2454,118,87,76,80,94,94,63,4201
Tyler Perkins,22,Male,Graduate,1106,638,63,169,78,135,44,2539,44,59,121,133,71,89,33,4216
Christopher Sexton,22,Male,Graduate,867,644,56,104,79,194,50,4800,25,73,86,127,112,64,23,6437
Nathaniel Vincent,26,Male,Graduate,1232,699,61,137,59,138,65,4503,90,48,23,84,110,21,27,6065
Frank Greer,22,Male,High School,832,547,69,183,52,129,84,3330,87,20,135,60,111,78,54,4939
Glenn Bennett,18,Male,Graduate,757,730,53,65,85,129,85,3372,105,60,27,115,127,34,57,5044
Debbie Gross,19,Female,High School,628,758,68,138,48,101,49,1043,56,64,134,139,55,84,20,2757
Brandon Browning,28,Male,Undergraduate,1108,616,54,111,68,154,57,4179,62,26,142,160,63,83,46,5821
Jessica Dudley,29,Female,Undergraduate,1008,607,59,82,20,178,32,4060,110,38,74,143,70,43,48,5564
Marcus Luna,18,Male,Graduate,974,589,57,105,37,102,41,2993,23,92,81,89,89,30,63,4391
